"","X","Pos","Player","Pts","Bye","week","team","Opponent","OppId","NFLTeam","NFLPos","AltPlayer","AltPos","AltPts","Diff"
"75",75,"BN","Jonathan Stewart",6,0,2,2,"Tom Terrific",12,"Car","RB","Darren Sproles","FLEX",2,4
"221",221,"BN","Andre Williams",4,0,2,5,"Screw you,  Goodell",7,"NYG","RB","Eddie Lacy","RB",0,4
"270",270,"BN","Ronnie Hillman",3,0,2,6,"The Peasemakers",1,"Den","RB","Jeremy Hill","RB",-1,4
"384",384,"BN","Ty Montgomery",7,0,3,8,"Tom Terrific",12,"GB","WR","Isaiah Crowell","FLEX",3,4
"432",432,"BN","Chandler Catanzaro",9,0,3,9,"Boston Bobcatz",6,"Ari","K","Adam Vinatieri","K",5,4
"476",476,"BN","Mike Wallace",4,0,3,10,"+/- 1 PSI",11,"Min","WR","DeMarco Murray","FLEX",0,4
"478",478,"BN","Marques Colston",4,0,3,10,"+/- 1 PSI",11,"NO","WR","DeMarco Murray","FLEX",0,4
"558",558,"BN","Eddie Royal",4,0,2,12,"What Would Jameis Do?",2,"Chi","WR","Mike Evans","WR",0,4
"239",239,"BN","James Starks",4,0,3,5,"The Peasemakers",1,"GB","RB","Matt Jones","RB",1,3
"428",428,"BN","Michael Crabtree",3,0,3,9,"Boston Bobcatz",6,"Oak","WR","Chris Ivory","FLEX",0,3
"464",464,"BN","Shane Vereen",8,0,2,10,"FU Roadshow Winnebago",4,"NYG","RB","DeMarco Murray","RB",5,3
"477",477,"BN","Sammy Watkins",3,0,3,10,"+/- 1 PSI",11,"Buf","WR","DeMarco Murray","FLEX",0,3
"524",524,"BN","Larry Donnell",3,0,3,11,"Richmond Confederates",10,"NYG","TE","Tyler Eifert","TE",0,3
"543",543,"BN","Kyle Rudolph",5,0,1,12,"FU Roadshow Winnebago",4,"Min","TE","Rueben Randle","FLEX",2,3
"30",30,"BN","Marcus Mariota",15,0,2,1,"Boston Bobcatz",6,"Ten","QB","Philip Rivers","QB",13,2
"31",31,"BN","Brandon Coleman",3,0,2,1,"Boston Bobcatz",6,"NO","WR","Kendall Wright","WR",1,2
