I,Pos,Player,Pts,Bye,week,team,Opponent,OppId,NFLTeam,NFLPos
373,WR,Mike Evans,0,1,2,12,What Would Jameis Do?,2,TB,WR
374,TE,Jimmy Graham,0,1,2,12,What Would Jameis Do?,2,Sea,TE
375,FLEX,Rueben Randle,0,1,2,12,What Would Jameis Do?,2,NYG,WR
376,K,Justin Tucker,15,0,2,12,What Would Jameis Do?,2,Bal,K
377,D/ST,Eagles,7,0,2,12,What Would Jameis Do?,2,Phi,D/ST
378,BN,Christine Michael,0,1,2,12,What Would Jameis Do?,2,Dal,RB
379,BN,"Dexter McCluster, Ten WR",0,1,2,12,What Would Jameis Do?,2,RB,RB
380,BN,Anquan Boldin,0,1,2,12,What Would Jameis Do?,2,SF,WR
381,BN,Eddie Royal,0,1,2,12,What Would Jameis Do?,2,Chi,WR
382,BN,Kyle Rudolph,0,1,2,12,What Would Jameis Do?,2,Min,TE
383,BN,Doug Baldwin,0,1,2,12,What Would Jameis Do?,2,Sea,WR
384,IR,,0,1,2,12,What Would Jameis Do?,2,,
